country_name,country_code,pop_total,pop_density,GDP,basic_water,safe_water,basic_san,safe_san,C1_School closing_1,C1_School closing_2,C1_School closing_3,C2_Workplace closing_1,C2_Workplace closing_2,C2_Workplace closing_3,C3_Cancel public events_1,C3_Cancel public events_2,C4_Restrictions on gatherings_1,C4_Restrictions on gatherings_2,C4_Restrictions on gatherings_3,C4_Restrictions on gatherings_4,C5_Close public transport_1,C5_Close public transport_2,C6_Stay at home requirements_1,C6_Stay at home requirements_2,C6_Stay at home requirements_3,C7_Restrictions on internal movement_1,C7_Restrictions on internal movement_2,C8_International travel controls_1,C8_International travel controls_2,C8_International travel controls_3,C8_International travel controls_4,E1_Income support_1,E1_Income support_2,E2_Debt/contract relief_1,E2_Debt/contract relief_2,H1_Public information campaigns_1,H1_Public information campaigns_2,H2_Testing policy_1,H2_Testing policy_2,H2_Testing policy_3,H3_Contact tracing_1,H3_Contact tracing_2,H6_Facial Coverings_1,H6_Facial Coverings_2,H6_Facial Coverings_3,H6_Facial Coverings_4,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,pct_fever_weighted,pct_cough_weighted,pct_difficulty_breathing_weighted,pct_fatigue_weighted,pct_stuffy_runny_nose_weighted,pct_aches_muscle_pain_weighted,pct_sore_throat_weighted,pct_chest_pain_weighted,pct_nausea_weighted,pct_anosmia_ageusia_weighted,pct_eye_pain_weighted,pct_headache_weighted,pct_chills_weighted,pct_cmnty_sick_weighted,pct_ever_tested_weighted,pct_tested_recently_weighted,pct_worked_outside_home_weighted,pct_grocery_outside_home_weighted,pct_ate_outside_home_weighted,pct_spent_time_with_non_hh_weighted,pct_attended_public_event_weighted,pct_used_public_transit_weighted,pct_direct_contact_with_non_hh_weighted,pct__all_time_weighted,pct_wear_mask_most_time_weighted,pct_wear_mask_half_time_weighted,pct_wear_mask_some_time_weighted,pct_wear_mask_none_time_weighted,pct_no_public_weighted,driving,walking,transit,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,prev_cases,total_cases,new_cases_percentages
Kyrgyzstan,KGZ,6456900,32.96558916,5470.811536,87.4559029,68.22331999,96.50706696,,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,74.53666667,66.36666667,69.09666667,50,4.56,9.52,2.773333333,29.51333333,18.15333333,15.07333333,11.23666667,3.54,5.223333333,4.54,9.256666667,23.05,4.896666667,10.86,13.47666667,2.056666667,45.60333333,66.83666667,28.3,49.78666667,23.81666667,30.51333333,53.45666667,35.34666667,24.21,13.82333333,4.906666667,7.853333333,7.18,,,,-14,-5,11,-13.66666667,-10.66666667,-2.666666667,2789,3151,2
Italy,ITA,60297396,205.4183722,44196.6931,99.44273388,95.03961456,98.77243267,96.20801357,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,55.56,64.58,62.85,75,0.39,4.666666667,1.85,13.81666667,9.396666667,9.716666667,3.023333333,1.566666667,1.973333333,0.706666667,3.583333333,10.90333333,1.056666667,2.506666667,12.94,0.533333333,21.79,67.54666667,47.41666667,64.39666667,10.27333333,8.613333333,49.75333333,65.7,21.32333333,4.21,1.383333333,0.446666667,1.78,130.2833333,84.92,59.42,-13,-6.666666667,57,-28.66666667,-27.66666667,4.666666667,238833,239706,1
Canada,CAN,37589262,4.075188239,51341.70517,99.43624408,98.86085405,99.28601285,82.31639797,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,64.35,70.83,70.14,75,1.193333333,9.47,3.346666667,18.29,17.85,16.37666667,6.18,2.873333333,4.343333333,1.353333333,4.053333333,15.09,2.696666667,4.89,18.94,4.036666667,31.31,64.01333333,38.61,53.30333333,10.66666667,9.143333333,45.06666667,58.99,20.45,5.683333333,3.613333333,2.733333333,2.416666667,164.7866667,171.06,60.08,-8.666666667,2.333333333,169.6666667,-31.66666667,-18.33333333,2.333333333,130493,131495,2
Bolivia,BOL,11513100,10.48014585,9086.060696,92.84873518,,60.71693757,22.93827129,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,89.81,72.62,80.56,25,8.54,19.87,9.306666667,21.01666667,30.5,19.90666667,23.8,13.12,9.416666667,9.75,19.38333333,34.51333333,12.81,33.01666667,10.89333333,6.556666667,31.76333333,66.71,8.4,29.67666667,5.586666667,22,34.72333333,67.01333333,10.02666667,2.1,2.233333333,0.726666667,12.28333333,,,,-63.66666667,-48.66666667,-55.66666667,-64.33333333,-49.66666667,28.33333333,42984,45565,3
Austria,AUT,8877067,107.1279669,59110.56256,100,98.90620097,99.97290961,96.74673828,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,31.48,50.6,44.44,87.5,0.82,9.893333333,4,29.41,13.19,12.70333333,5.273333333,2.783333333,4.223333333,1.11,3.95,14.57666667,1.053333333,6.263333333,18.60666667,3.82,32.43666667,66.83333333,49.51333333,61.06,13.25333333,17.17,60.39666667,24.05666667,36.97,22.98666667,6.636666667,2.596666667,1.396666667,168.4766667,146.01,,2,-1.666666667,112.3333333,-20.66666667,-34.66666667,3,23373,23875,2
Czech Republic,CZE,10669709,137.6577053,42575.61148,99.8802588,97.88131195,99.13409923,94.45913535,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,41.67,51.19,49.31,62.5,0.44,7.726666667,5.843333333,27.52333333,15.28666667,11.37,4.036666667,2.596666667,3.833333333,1.09,6.74,14.53333333,1.62,3.16,8.506666667,1.023333333,44.31333333,71.30333333,37.52,64.51666667,18.11333333,25.89333333,69.91,33.6,33.64333333,14.32,9.2,3.416666667,1.64,128.3933333,74.98333333,72.74333333,-3.666666667,7.333333333,2.666666667,-8.666666667,-15.66666667,5,9697,9824,1
Malaysia,MYS,31949777,95.96282149,29525.57736,96.69593891,93.32927846,99.57203616,88.63391199,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,69.44,73.21,72.92,75,0.93,6.683333333,2.153333333,13.45666667,9.456666667,11.56666667,4.866666667,2.443333333,2.286666667,1.07,3.686666667,10.96666667,3.443333333,5.366666667,7.326666667,0.873333333,33.41,53.18333333,30.37333333,24,4.393333333,2.69,20.73333333,60.86333333,15.75666667,4.243333333,1.37,0.796666667,10.35,90.89,60.24,,-48.66666667,-2.333333333,-40,-48.66666667,-31.66666667,20,6941,7009,0
New Zealand,NZL,4917000,18.38517337,43952.54843,100,100,100,88.67926037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,22.22,38.69,30.56,87.5,2.13,16.24333333,4.753333333,19.13,21.96666667,18.06333333,8.1,3.696666667,4.963333333,2.816666667,5.07,16.93666667,4.163333333,7.913333333,16.11,2.2,49.53,70.34666667,58.42,68.18,34.03333333,13.63333333,69.77,1.206666667,1.603333333,2.17,1.82,81.95666667,3.05,105.18,91.88333333,66.05666667,0.666666667,-3.666666667,-14.33333333,-23.66666667,0.333333333,3.666666667,1210,1212,0
Ukraine,UKR,44385155,77.0296708,13341.21052,93.79082011,92.00685673,96.22435599,68.45984576,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,88.89,79.76,86.81,37.5,1.59,10.34333333,3.726666667,27.40333333,16.72666667,13.00333333,5.86,4.196666667,3.456666667,1.596666667,7.423333333,19.71666667,3.01,3.833333333,2.37,0.36,32.05333333,70.82,6.943333333,43.61,7.5,12.11333333,50.04,63.26333333,13.34333333,6.403333333,3.126666667,1.266666667,8.206666667,89.07666667,61.77333333,,-38,-9,10.33333333,-36.33333333,-35,9,13184,14195,2
Libyan Arab Jamahiriya,LBY,6777452,3.795632381,15803.05638,98.52894737,,100,26.11147741,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,94.44,66.67,77.78,0,3.763333333,8.74,4.506666667,28.20666667,11.23333333,21.34,8.03,4.7,5.01,3.176666667,12.19,24.13333333,3.876666667,7.836666667,7.236666667,1.366666667,29.26,59.35,25.36333333,51.67333333,23.59,4.613333333,58.78333333,8.55,7.243333333,9.903333333,7.3,37.48666667,19.53666667,,,,-9.666666667,9.666666667,18,-30,-9,0.333333333,891,989,1
